Month,Rank,Title,Author,Publisher,Sales Point,Publication Month
2월,75,레드 클로버,마사키 도시카,허밍북스,세일즈 포인트 정보 없음,2024년 2월
2월,76,신앙,무라타 사야카,은행나무,세일즈 포인트 정보 없음,2024년 1월
2월,78,말하고 싶은 비밀,사쿠라 이이요,모모,"18,718",2023년 12월
2월,79,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,"44,389",2021년 6월
2월,80,이방인,알베르 카뮈,민음사,"58,642",2019년 9월
2월,81,수상한 한의원,배명은,텍스티(TXTY),세일즈 포인트 정보 없음,2024년 1월
2월,83,바다가 들리는 편의점,마치다 소노코,모모,세일즈 포인트 정보 없음,2023년 3월
2월,84,소년이 온다,한강,창비,"1,544,378",2014년 5월
2월,85,한밤의 도박,아르투어 슈니츨러,빛소굴,세일즈 포인트 정보 없음,2024년 1월
2월,86,우리는 모두 사랑하는 사람을 위해 일을 합니다,하림,"그리고 다시, 봄","4,416",2024년 2월
2월,87,라디오 체조,오쿠다 히데오,은행나무,세일즈 포인트 정보 없음,2023년 11월
2월,88,"스토너 (초판본, 양장)",존 윌리엄스,알에이치코리아(RHK),세일즈 포인트 정보 없음,2020년 6월
2월,90,7인 1역,렌조 미키히코,모모,세일즈 포인트 정보 없음,2023년 12월
2월,91,용의자 X의 헌신,히가시노 게이고,재인,"32,422",2017년 8월
2월,92,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,"74,478",2023년 1월
2월,93,홍학의 자리,정해연,엘릭시르,"45,113",2021년 7월
2월,94,동물농장 (오리지널 초판본 표지 디자인),조지 오웰,코너스톤,"24,336",2020년 6월
2월,95,스토너,존 윌리엄스,알에이치코리아(RHK),세일즈 포인트 정보 없음,2015년 1월
2월,97,초대받은 여자 1,시몬 드 보부아르,민음사,884,2024년 2월
2월,98,내 아이가 분명해 1,한민트,파란(파란미디어),626,2024년 2월
2월,99,슈니츨러 작품선,아르투어 슈니츨러,민음사,"1,156",2024년 2월
2월,100,단지 소설일 뿐이네,구병모,문학실험실,세일즈 포인트 정보 없음,2024년 1월
3월,1,이처럼 사소한 것들,클레어 키건,다산책방,"236,370",2023년 11월
3월,2,리틀 라이프 1,한야 야나기하라,시공사,"65,757",2016년 6월
