Month,Title,Author,Publisher,Publish_Date,Category
8,데뷔 못 하면 죽는 병 걸림 3부 초판 한정 굿즈박스 세트,백덕수,위시북스,2024.12.08,fantasy
8,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
8,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
8,범도 1: 포수의 원칙,방현석,문학동네,2023.05.25,history
8,오렌지와 빵칼,청예,허블,2024.07.17,mystery
8,범도 2: 봉오동의 그들,방현석,문학동네,2023.06.07,history
8,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
8,카지노,김진명,새움,2022.12.13,mystery
8,이름 없는 여자의 여덟 가지 인생,이미리내,위즈덤하우스,2024.07.17,history
8,히든 픽처스,제이슨 르쿨락,문학수첩,2024.05.03,mystery
8,적산가옥의 유령,조예은,현대문학,2024.06.25,mystery
8,돌이킬 수 있는,문목하,아작,2018.12.05,mystery
8,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
4,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
4,내일의 으뜸,김빵,다향,2024.05.24,fantasy
4,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
4,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아,2024.03.02,mystery
4,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
4,남은 인생 10년,고사카 루카,모모,2024.03.22,romance
4,메리골드 마음 사진관,윤정은,북로망스,2024.01.12,fantasy
4,천 개의 파랑,천선란,허블,2020.08.19,sf
4,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
4,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
4,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
4,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
4,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,2023.07.27,mystery
4,무직전생 26+무직전생 스페셜북 합본세트,리후진 나 마고노테,학산문화사,2024.04.25,fantasy
4,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
4,금단의 마술,히가시노 게이고,재인,2023.10.27,mystery
6,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12,mystery
6,룬의 아이들 블러디드 7,전민희,엘릭시르,2024.05.30,fantasy
6,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
6,내일의 으뜸,김빵,다향,2024.05.24,fantasy
6,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
6,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
6,당신을 기다리고 있어,김보영,새파란상상,2020.05.26,sf
6,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
6,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
6,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
6,천 개의 파랑,천선란,허블,2020.08.19,sf
6,용의자들,정해연,위즈덤하우스,2024.05.16,mystery
6,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
6,남은 인생 10년,고사카 루카,모모,2024.03.22,romance
6,메리골드 마음 사진관,윤정은,북로망스,2024.01.12,fantasy
6,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
6,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
10,영원한 천국,정유정,은행나무,2024.08.28,history
10,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
10,사랑 후에 오는 것들 세트,공지영 외,소담출판사,2024.08.15,romance
10,천 개의 파랑,천선란,허블,2020.08.19,sf
10,종의 기원,정유정,은행나무,2016.05.16,sf
10,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
10,사랑 후에 오는 것들,공지영,소담출판사,2024.08.15,romance
10,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
10,사랑 후에 오는 것들,츠지 히토나리,소담출판사,2024.08.15,romance
10,악의,히가시노 게이고,현대문학,2019.07.25,mystery
10,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
10,백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24,horror
10,저주토끼,정보라,래빗홀,2023.04.13,sf
10,멋진 신세계,올더스 헉슬리,소담출판사,2015.06.12,sf
10,돌이킬 수 있는,문목하,아작,2018.12.05,sf
10,엘리펀트 헤드,시라이 도모유키,내친구의서재,2024.10.18,mystery
2,메리골드 마음 사진관,윤정은,북로망스,2024.01.12,fantasy
2,금단의 마술,히가시노 게이고,재인,2023.10.27,mystery
2,살인자의 쇼핑몰 1,강지영,자음과모음,2020.02.14,mystery
2,살인자의 쇼핑몰 2,강지영,자음과모음,2023.07.28,mystery
2,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
2,지구 생물체는 항복하라,정보라,래빗홀,2024.01.29,sf
2,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,2023.07.27,mystery
2,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아,2024.03.02,mystery
2,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
2,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
2,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
2,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
2,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
2,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,2023.07.18,mystery
2,어서 오세요 실력지상주의 교실에 2학년 편 10,키누가사 쇼고,소미미디어,2024.02.08,fantasy
2,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,2023.11.13,romance
2,속임수의 섬,히가시가와 도쿠야,북다,2024.01.29,mystery
2,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
2,천 개의 파랑,천선란,허블,2020.08.19,sf
2,해리 포터와 아즈카반의 죄수(미나리마 에디션),조앤 K. 롤링,문학수첩,2023.10.03,fantasy
2,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
2,해리 포터와 비밀의 방(미나리마 에디션),J. K. 롤링,문학수첩,2021.10.26,fantasy
