월,순위,제목,저자,출판사,판매지수,출판 년월
6,74,사랑하는 나의 억압자 2,서사희,블라썸,판매지수 402,2024년 05월
6,75,사랑하는 나의 억압자 1,서사희,블라썸,판매지수 540,2024년 05월
6,76,나쁜 시녀들 1~5 세트,자야,아시아,판매지수 576,2024년 05월
6,77,세이렌 5 북케이스 세트,설이수,YOUNGCOM(영컴),"판매지수 1,008",2024년 01월
6,78,그 여름의 끝에 네가 죽으면 완벽했기 때문에,샤센도 유키,토마토출판사,"판매지수 1,740",2023년 09월
6,79,더 캐슬 1~3 세트,진소예,에이템포미디어,판매지수 786,2023년 07월
6,80,다정한 사신은 너를 위한 거짓말을 할 거야,모치즈키 쿠라게,북스토리,판매지수 870,2023년 03월
6,81,무림세가 천대받는 손녀 딸이 되었다 5,마루별,연담,판매지수 486,2023년 03월
6,82,무림세가 천대받는 손녀 딸이 되었다 4,마루별,연담,판매지수 522,2023년 03월
6,83,무림세가 천대받는 손녀 딸이 되었다 3,마루별,연담,판매지수 492,2023년 03월
6,84,악녀라서 편하고 좋은데요? 4,망고킴,연담,판매지수 528,2023년 01월
6,85,악녀라서 편하고 좋은데요? 2,망고킴,연담,판매지수 552,2023년 01월
6,86,러브 레터,이와이 슌지,하빌리스,"판매지수 2,130",2022년 11월
6,87,"빨강, 파랑, 어쨌든 찬란",케이시 맥퀴스턴,살림출판사,"판매지수 1,758",2021년 07월
6,88,별이 빛나는 밤,김준,좋은땅,판매지수 72,2024년 06월
6,89,족쇄 : 두 남매 이야기,전혜진,고즈넉이엔티,"판매지수 1,314",2024년 05월
6,90,논 트리거 2,몽슈,YOUNGCOM(영컴),판매지수 900,2024년 04월
6,91,"리옹, 불시착",미요나,다향,판매지수 336,2023년 11월
6,92,벽사아씨전,박에스더,안전가옥,"판매지수 1,344",2023년 09월
6,93,봄이 사라진 세계,모리타 아오,모모,"판매지수 1,506",2023년 04월
6,94,네버 세이 네버,심윤서,가하,판매지수 705,2023년 04월
6,95,무림세가 천대받는 손녀 딸이 되었다 1,마루별,연담,판매지수 372,2023년 03월
6,96,악녀라서 편하고 좋은데요? 3,망고킴,연담,판매지수 528,2023년 01월
6,97,우리가 끝이야,콜린 후버,위즈덤하우스,"판매지수 1,512",2022년 05월
6,98,이상한 나라의 흰 토끼,명윤,디앤씨미디어(D&C미디어),판매지수 684,2017년 01월
6,99,너에게로 중독 4,안테,디앤씨미디어(D&C미디어),판매지수 648,2016년 07월
6,100,너에게로 중독 3,안테,디앤씨미디어(D&C미디어),판매지수 576,2016년 07월
7,1,내일의 으뜸,김빵,다향,"판매지수 57,792",2024년 05월
7,2,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,656",2023년 11월
7,3,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월
7,4,러브 어페어 1~4 세트,이유진,파란 (파란미디어),"판매지수 3,306",2024년 07월
7,5,미 비포 유,조조 모예스,다산책방,"판매지수 13,452",2024년 04월
7,6,남은 인생 10년,고사카 루카,모모,"판매지수 29,397",2024년 03월
7,7,나와 너의 365일,유이하,모모,"판매지수 17,976",2023년 03월
7,8,재와 물거품,김청귤,안전가옥,"판매지수 18,366",2021년 05월
7,9,너의 췌장을 먹고 싶어 (일반판),스미노 요루,소미미디어,"판매지수 11,436",2017년 04월
7,10,너는 달밤에 빛나고,사노 테츠야,디앤씨미디어(D&C미디어),"판매지수 9,828",2018년 04월
7,11,네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름,"판매지수 15,198",2024년 07월
7,12,해피엔딩에서 너를 기다릴게,산다 치에,알에이치코리아(RHK),"판매지수 13,239",2023년 01월
7,13,노트북,니콜라스 스파크스,모모,"판매지수 13,983",2024년 05월
7,14,"보지 못하는 너에게, 보이지 않는 내가",니노마에 아키라,모모,"판매지수 4,374",2024년 04월
7,15,"나는 내일, 어제의 너와 만난다",나나츠키 타카후미,영상출판미디어,"판매지수 10,890",2016년 02월
7,16,개를 데리고 다니는 남자,김화진,북다,"판매지수 1,704",2024년 06월
7,17,21세기 마지막 첫사랑,김빵,자이언트북스,"판매지수 3,540",2024년 05월
7,18,너와 만날 수 있었던 4%의 기적,히로세 미이,제우미디어,"판매지수 4,644",2019년 05월
7,19,"거짓말이 보이는 나는, 솔직한 너에게 사랑을 했다",사쿠라이 미나,제우미디어,"판매지수 5,652",2019년 08월
7,20,일주일 만에 사랑할 순 없다,김동식,요다,"판매지수 4,278",2020년 03월
7,21,위시,니콜라스 스파크스,모모,"판매지수 11,676",2023년 12월
7,22,너의 여름을 빌려줘,리지 덴트,마시멜로,판매지수 936,2024년 06월
7,23,이번 생은 가주가 되겠습니다 1~5 세트,김로아,디앤씨미디어(D&C미디어),"판매지수 3,780",2024년 01월
7,24,고백의 이유,서은수,파란 (파란미디어),"판매지수 4,578",2024년 03월
7,25,봄이 사라진 세계,모리타 아오,모모,"판매지수 1,506",2023년 04월
7,26,사랑하는 나의 억압자 1~4 세트,서사희,블라썸,"판매지수 2,052",2024년 05월
7,27,비긴 어게인,헬리 액튼,모모,"판매지수 3,060",2024년 01월
7,28,달 그늘 아래 부서진 각인 세트,무연,로코코,판매지수 384,2024년 07월
7,29,봄그늘 1~5 세트,김차차,파란 (파란미디어),"판매지수 5,916",2024년 02월
7,30,시간의 계단 1,주영하,블라썸,"판매지수 2,850",2019년 02월
7,31,금수별곡,마셰리,YOUNGCOM(영컴),"판매지수 1,878",2024년 01월
7,32,이 세계에서 너와 두 번째 첫사랑을,모치즈키 쿠라게,북스토리,"판매지수 2,256",2020년 04월
7,33,여름의 너에게 겨울에 내가 갈게,닌겐 로쿠도,북폴리오,"판매지수 2,280",2023년 07월
7,34,"비록, 닿을 수 없는 너의 세상일지라도",미아키 스가루,팩토리나인,"판매지수 1,968",2023년 03월
