월,순위,제목,저자,출판사,판매지수,출판 년월
2,86,백설공주에게 죽음을,넬레 노이하우스,북로드,판매지수 300,2011년 02월
2,87,셜록 홈즈 전집 세트,아서 코난 도일,황금가지,"판매지수 2,868",2002년 10월
2,88,선택의 날,정해연,시공사,"판매지수 1,176",2023년 08월
2,89,오피스 괴담,범유진,안전가옥,"판매지수 1,260",2023년 12월
2,90,복행 마을 생활 수칙,숫노루TV,북오션,판매지수 882,2023년 12월
2,91,가을비 이야기,기시 유스케,비채,판매지수 762,2023년 10월
2,92,파괴자들의 밤,서미애,안전가옥,판매지수 684,2023년 06월
2,93,아무에게도 말하지 마,할런 코벤,비채,판매지수 936,2022년 09월
2,94,피가 흐르는 곳에,스티븐 킹,황금가지,판매지수 324,2021년 08월
2,95,귀신나방,장용민,엘릭시르,"판매지수 1,368",2018년 09월
2,96,살인의 문 2,히가시노 게이고,재인,판매지수 642,2018년 08월
2,97,살인의 문 1,히가시노 게이고,재인,판매지수 516,2018년 08월
2,98,도로시 죽이기,고바야시 야스미,검은숲,"판매지수 1,272",2018년 05월
2,99,"기발한 발상, 하늘을 움직이다",시마다 소지,시공사,판매지수 474,2011년 02월
2,100,하이 윈도,레이먼드 챈들러,북하우스,판매지수 318,2004년 02월
3,1,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월
3,2,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월
3,3,직장 상사 악령 퇴치부,이사구,황금가지,"판매지수 9,078",2024년 02월
3,4,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월
3,5,덧없는 양들의 축연,요네자와 호노부,엘릭시르,"판매지수 2,058",2024년 03월
3,6,해바라기가 피지 않는 여름,미치오 슈스케,들녘,"판매지수 7,476",2014년 09월
3,7,퇴마록 국내편 1,이우혁,엘릭시르,"판매지수 3,750",2011년 09월
3,8,그리고 아무도 없었다,애거사 크리스티,해문출판사,"판매지수 8,622",2002년 05월
3,9,살육에 이르는 병,아비코 다케마루,검은숲,"판매지수 10,866",2016년 07월
3,10,제노사이드,다카노 가즈아키,황금가지,"판매지수 10,833",2012년 06월
3,11,별에서의 살인,모모노 자파,모모,"판매지수 1,884",2024년 02월
3,12,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월
3,13,봉제인형 살인사건,다니엘 콜,북플라자,"판매지수 7,662",2017년 10월
3,14,유괴의 날,정해연,시공사,"판매지수 4,248",2019년 07월
3,15,고백,미나토 가나에,비채,"판매지수 10,290",2018년 08월
3,16,페어워닝,마이클 코넬리,알에이치코리아(RHK),"판매지수 4,422",2024년 01월
3,17,아홉수 가위,범유진,안전가옥,"판매지수 4,650",2021년 10월
3,18,죽여 마땅한 사람들,피터 스완슨,푸른숲,"판매지수 6,852",2016년 07월
3,19,백만 유튜버 죽이기,박힘찬,오러,판매지수 876,2024년 04월
3,20,명상 살인,카르스텐 두세,세계사,"판매지수 2,190",2021년 07월
3,21,퇴마록 국내편 2,이우혁,엘릭시르,"판매지수 2,298",2011년 09월
3,22,하우스메이드,프리다 맥파든,북플라자,"판매지수 4,176",2023년 04월
3,23,셜록 홈즈 전집 세트,아서 코난 도일,문예춘추사,"판매지수 5,340",2012년 12월
3,24,"아픈 것아, 아픈 것아, 날아가라",미아키 스가루,영상출판미디어,"판매지수 3,132",2015년 12월
3,25,사선을 걷는 남자,데이비드 발다치,북로드,"판매지수 3,252",2023년 11월
3,26,재능 있는 리플리,퍼트리샤 하이스미스,을유문화사,"판매지수 1,770",2023년 10월
3,27,이웃집 소시오패스의 사정,조예은,&(앤드),"판매지수 4,410",2024년 04월
3,28,메이즈 러너,제임스 대시너,문학수첩,"판매지수 3,834",2012년 07월
3,29,살려 마땅한 사람들,피터 스완슨,푸른숲,"판매지수 4,248",2023년 10월
3,30,이상한 집,우케쓰,리드비(READbie),"판매지수 5,514",2022년 10월
3,31,다빈치 코드 1,댄 브라운,문학수첩,"판매지수 2,286",2013년 12월
3,32,헝거게임,수잔 콜린스,북폴리오,"판매지수 4,302",2009년 10월
3,33,앨리스 죽이기,고바야시 야스미,검은숲,"판매지수 3,198",2015년 12월
3,34,명탐정 코난 4,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,102",1997년 03월
3,35,명탐정 코난 3,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,852",1997년 02월
3,36,신의 죽음,김진명,새움,"판매지수 2,556",2024년 03월
3,37,악의 심장,크리스 카터,북로드,"판매지수 1,056",2022년 03월
3,38,트와일라잇,스테프니 메이어,북폴리오,"판매지수 3,240",2008년 07월
3,39,디스클레이머,르네 나이트,북플라자,판매지수 912,2024년 03월
