월,순위,제목,저자,출판사,판매지수,출판 년월
7,63,퇴마록 국내편 2,이우혁,엘릭시르,"판매지수 2,298",2011년 09월
7,64,누굴 죽였을까,정해연,북다,"판매지수 5,076",2024년 02월
7,65,블랙 쇼맨과 이름 없는 마을의 살인,히가시노 게이고,알에이치코리아(RHK),"판매지수 5,334",2020년 11월
7,66,검은 집,기시 유스케,창해(새우와 고래),"판매지수 3,972",2004년 08월
7,67,속임수의 섬,히가시가와 도쿠야,북다,"판매지수 5,094",2024년 01월
7,68,명탐정 코난 2,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,834",2020년 08월
7,69,13계단,다카노 가즈아키,황금가지,"판매지수 4,236",2005년 12월
7,70,명탐정 코난 3,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,852",1997년 02월
7,71,히가시노 게이고 설산 시리즈,히가시노 게이고,소미미디어,"판매지수 3,582",2024년 03월
7,72,아침이 온다,츠지무라 미즈키,몽실북스,"판매지수 3,066",2017년 11월
7,73,십각관의 살인,아야츠지 유키토,한스미디어,"판매지수 3,618",2005년 07월
7,74,"칵테일, 러브, 좀비 (10만 부 기념 특별판)",조예은,안전가옥,"판매지수 2,106",2024년 06월
7,75,레이크사이드,히가시노 게이고,하빌리스,"판매지수 3,942",2023년 08월
7,76,유성의 인연 2,히가시노 게이고,현대문학,"판매지수 2,490",2020년 01월
7,77,물속의 입,김인숙,문학동네,판매지수 660,2024년 07월
7,78,귀축의 집,미키 아키코,블루홀6,"판매지수 1,242",2024년 05월
7,79,더 미스터리 1,철멍뭉,부커,"판매지수 1,338",2023년 12월
7,80,붉은 손가락,히가시노 게이고,현대문학,"판매지수 4,086",2019년 07월
7,81,인어가 잠든 집,히가시노 게이고,재인,"판매지수 3,210",2019년 02월
7,82,셜록 홈즈 전집 세트,아서 코난 도일,황금가지,"판매지수 2,868",2002년 10월
7,83,살인자의 사랑법,마이크 오머,북로드,"판매지수 1,194",2020년 02월
7,84,내가 그를 죽였다,히가시노 게이고,현대문학,"판매지수 2,430",2019년 07월
7,85,벚꽃 지는 계절에 그대를 그리워하네,우타노 쇼고,한스미디어,"판매지수 4,254",2019년 03월
7,86,앨리스 죽이기,고바야시 야스미,검은숲,"판매지수 3,198",2015년 12월
7,87,0시를 향하여,애거사 크리스티,황금가지,"판매지수 1,956",2013년 12월
7,88,모방범 1,미야베 미유키,문학동네,"판매지수 3,930",2012년 03월
7,89,명탐정 코난 22,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 1,860",1999년 04월
7,90,명탐정 코난 15,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,070",1997년 08월
7,91,명탐정 코난 8,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,496",1997년 05월
7,92,명탐정 코난 4,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,102",1997년 03월
7,93,늑대와 토끼의 게임,아비코 다케마루,시공사,판매지수 978,2024년 06월
7,94,명탐정의 제물,시라이 토모유키,내친구의서재,"판매지수 3,954",2023년 07월
7,95,유성의 인연 1,히가시노 게이고,현대문학,"판매지수 2,646",2020년 01월
7,96,매스커레이드 이브,히가시노 게이고,현대문학,"판매지수 3,060",2015년 08월
7,97,매스커레이드 호텔,히가시노 게이고,현대문학,"판매지수 3,630",2012년 07월
7,98,그 변기의 역학,설재인,한겨레출판,판매지수 654,2024년 06월
7,99,치유를 파는 찻집,모리사와 아키오,북플라자,"판매지수 3,972",2023년 08월
